id,name,category,description,attributes,information_score,created_at,updated_at
1,Interest Smartwatch,electronics,Pattern article stand much wait. Exactly heavy tonight mind minute. Animal music will.,"{""battery_life_hours"": null}",1,2026-04-17 23:42:48.962489,2026-04-17 23:42:48.962496
2,To Smartwatch,electronics,Management Congress without area rise piece phone. Serve open cup something.,"{""battery_life_hours"": 68}",1,2026-04-17 23:42:48.962499,2026-04-17 23:42:48.962501
3,Serious Smartwatch,electronics,Final size however American reason. Value read federal give across thank break. Arm rise office recent possible.,"{""battery_life_hours"": 29}",2,2026-04-17 23:42:48.962503,2026-04-17 23:42:48.962505
4,Range Smartwatch,electronics,Actually set laugh will outside dinner. Wonder black best play language picture. Answer spring whole.,"{""battery_life_hours"": 33}",2,2026-04-17 23:42:48.962507,2026-04-17 23:42:48.962509
5,Event Smartwatch,electronics,Girl purpose suggest always upon such. Agree you bit. Weight keep main year example role worker.,"{""battery_life_hours"": 33}",2,2026-04-17 23:42:48.962511,2026-04-17 23:42:48.962513
6,History Smartwatch,electronics,Believe manager lawyer. Drug trial pick decide. Institution news including majority.,"{""battery_life_hours"": null}",1,2026-04-17 23:42:48.962515,2026-04-17 23:42:48.962517
7,Figure Smartwatch,electronics,Art develop end threat tell want space. Local result all share.,"{""battery_life_hours"": 45}",1,2026-04-17 23:42:48.962520,2026-04-17 23:42:48.962522
8,Benefit Smartwatch,electronics,Message month since anyone. Stay table tend feel do final note. Often growth week off them. Campaign site really.,"{""battery_life_hours"": null}",1,2026-04-17 23:42:48.962524,2026-04-17 23:42:48.962526
9,I Smartwatch,electronics,Government better herself. Product design reality material different.,"{""battery_life_hours"": 25}",1,2026-04-17 23:42:48.962528,2026-04-17 23:42:48.962530
10,Wonder Smartwatch,electronics,Yard if feeling official month black. Start fly director region maybe beat turn. Exactly girl time alone.,"{""battery_life_hours"": null}",1,2026-04-17 23:42:48.962532,2026-04-17 23:42:48.962534
11,Government,grocery,Themselves each anything lot computer majority present sort.  High in fiber.,"{""is_gluten_free"": null, ""is_high_fiber"": true}",1,2026-04-17 23:42:48.962536,2026-04-17 23:42:48.962538
12,Include,grocery,Generation down he fear rule fact admit product she car customer.  Gluten-free and high in fiber.,"{""is_gluten_free"": true, ""is_high_fiber"": true}",3,2026-04-17 23:42:48.962541,2026-04-17 23:42:48.962542
13,Pay,grocery,Bit rest force any outside church program hundred relationship feeling only beat glass.  Gluten-free and high in fiber.,"{""is_gluten_free"": true, ""is_high_fiber"": true}",3,2026-04-17 23:42:48.962545,2026-04-17 23:42:48.962547
14,Draw,grocery,Couple technology kitchen national market fight.  Gluten-free and high in fiber.,"{""is_gluten_free"": true, ""is_high_fiber"": true}",3,2026-04-17 23:42:48.962549,2026-04-17 23:42:48.962551
15,Gas,grocery,Better low sense property tell teacher amount provide reach to.  Gluten-free.,"{""is_gluten_free"": true, ""is_high_fiber"": null}",1,2026-04-17 23:42:48.962553,2026-04-17 23:42:48.962555
16,Community,grocery,Each take direction health employee several relationship former decision television involve machine ask.  Gluten-free and high in fiber.,"{""is_gluten_free"": true, ""is_high_fiber"": true}",3,2026-04-17 23:42:48.962557,2026-04-17 23:42:48.962559
17,Still,grocery,Style color such fast several attention full Mrs difference dream product.,"{""is_gluten_free"": null, ""is_high_fiber"": null}",0,2026-04-17 23:42:48.962561,2026-04-17 23:42:48.962563
18,Partner,grocery,Himself fill yet product science management environment despite I hotel.  High in fiber.,"{""is_gluten_free"": null, ""is_high_fiber"": true}",2,2026-04-17 23:42:48.962565,2026-04-17 23:42:48.962567
19,Single,grocery,Side over police meet system perform wall administration data.  Gluten-free.,"{""is_gluten_free"": true, ""is_high_fiber"": null}",1,2026-04-17 23:42:48.962569,2026-04-17 23:42:48.962571
20,Friend,grocery,Society certainly yard attention above hope why plant international standard shake thus draw.  Gluten-free and high in fiber.,"{""is_gluten_free"": true, ""is_high_fiber"": true}",3,2026-04-17 23:42:48.962574,2026-04-17 23:42:48.962575
21,Health,grocery,Never agent enjoy government must tonight car sort number lawyer quickly movement human.  Gluten-free and high in fiber.,"{""is_gluten_free"": true, ""is_high_fiber"": true}",3,2026-04-17 23:42:48.962578,2026-04-17 23:42:48.962580
22,Trial,grocery,Today describe whom sense trial brother analysis seem away.  Gluten-free and high in fiber.,"{""is_gluten_free"": true, ""is_high_fiber"": true}",3,2026-04-17 23:42:48.962582,2026-04-17 23:42:48.962584
23,Toward,grocery,Form sometimes pass win their again region find play.,"{""is_gluten_free"": null, ""is_high_fiber"": null}",0,2026-04-17 23:42:48.962586,2026-04-17 23:42:48.962588
24,Investment,grocery,Each behavior tough allow student woman easy more peace law.  Gluten-free and high in fiber.,"{""is_gluten_free"": true, ""is_high_fiber"": true}",3,2026-04-17 23:42:48.962590,2026-04-17 23:42:48.962593
25,Each,grocery,Town say really network keep today sound own offer.  Gluten-free.,"{""is_gluten_free"": true, ""is_high_fiber"": null}",1,2026-04-17 23:42:48.962595,2026-04-17 23:42:48.962597
